Source Title,Source Details,Char Name,Auth Name,Nigerian Residency,Auth Sex,Char Sex,Char Age,Char Country,Char Nationality,Char City,Char Field,Quits science,Outcome of Research,Scientist's Intention,Working in isolation,Limits to Knowledge,Eternal Life,Health Theme,Aliens,Religion,Government,Corporation,Outside Infl,Attractive,Education home/abroad,Alchemist,Supid Genius,Detached,Adventurer,Helpless,Idealist
Source Title,Source Details,Char Name,Auth Name,Nigerian Residency,Auth Sex,Char Sex,Char Age,Char Country,Char Nationality,Char City,Char Field,Quits science,Outcome of Research,Scientist's Intention,Working in isolation,Limits to Knowledge,Eternal Life,Health Theme,Aliens,Religion,Government,Corporation,Outside Infl,Attractive,Education home/abroad,Alchemist,Supid Genius,Detached,Adventurer,Helpless,Idealist
Discovering Time Travel,jalada,Dr. Emalaba,Buhari,Yes,Male,Male,Middle Aged,Nigeria,nigerian,NA,Space,No,Negative,Ambivalent,no,unspecified,No,No,NA,NA,Yes,NA,NA,NA,Tanzania,No,No,No,No,No,No
Discovering Time Travel,jalada,Dr. Michael Abaseki,Buhari,Yes,Male,Male,Dead,Nigeria,nigerian,NA,Space,No,Negative,Ambivalent,no,unspecified,No,No,NA,NA,Yes,NA,NA,NA,Tanzania,No,No,No,No,No,No
Discovering Time Travel,jalada,Dr. Kehinde Abaseki,Buhari,Yes,Male,Male,Middle Aged,Nigeria,nigerian,NA,Space,No,Negative,Ambivalent,Yes,unspecified,No,No,NA,NA,Yes,NA,NA,NA,NA,No,No,No,No,No,No
Mango Republic,Lagos_2060,Rekia,Agbedeh,Yes,Male,Female,Young,Nigeria,nigerian,Lagos,Unspecified,Yes,Unspecified,Good,no,unspecified,No,yes,No,Yes,Yes,No,No,Yes,Lagos,No ,No ,No ,No,No ,No
Mango Republic,Lagos_2060,Aromire,Agbedeh,Yes,Male,Male,Young,Nigeria,nigerian,Lagos,Engineering,No,Ambivalent,Good,no,unspecified,No,No,No,No,Yes,No,No,Yes,NA,No ,No ,No ,No,No ,No
Metal Feet,Lagos_2060,Abdul Rahman,Olofinlua,Yes,Female,Male,Middle Aged,Nigeria,nigerian,Lagos,Robotics,no,Negative,Ambivalent,Yes,unspecified,No,No,No,No,yes,No,No,Yes,NA,Yes,No ,No ,No,No ,No
Proposition 23,AfroSF,Dr. Ato Goodwind,Okogu,No,Male,Male,Dead,Nigeria,nigerian,Lagos,Engineering,no,Negative,Good,no,unspecified,No,No,No,NA,Yes,Yes,NA,NA,NA,No,No,No,No,No,Yes
Amphibian Attack,Lagos_2060,Tara Johnson,Ashiru,Yes,Male,Female,Young,Nigeria,nigerian,Lagos,Env. Science,no,Good,Good,no,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Lagos,No ,No ,No ,No,No ,No
Animals on the Run,Lagos_2060,Yinka,Egboluche,Yes,Male,Female,Young,Nigeria,nigerian,Lagos,Env. Science,no,Good,Good,no,No,No,No,No,Yes,Yes,Yes,Yes,Yes,NA,No ,No ,No ,No,No ,No
